IMAGEM,VP,VN,FP,FN,Acurácia,Sobreposição,Sensibilidade,Especificidade  
watersherd_400_cinza_Im004,61408,543,54379,43670,38.72,38.51,58.44,0.99, 
watersherd_400_rgb_Im061,45169,1959,90872,22000,29.45,28.58,67.25,2.11, 
watersherd_800_cinza_Im028,234299,1949,258521,145231,36.91,36.72,61.73,0.75, 
watersherd_400_cinza_Im020,49470,6568,86232,17730,35.02,32.24,73.62,7.08, 
watersherd_800_rgb_Im077,285125,8971,291243,54661,45.95,45.18,83.91,2.99, 
watersherd_800_cinza_Im015,156500,7234,382122,94144,25.58,24.73,62.44,1.86, 
watersherd_400_cinza_Im067,63040,275,52804,43881,39.57,39.47,58.96,0.52, 
watersherd_400_rgb_Im072,42829,277,19410,97484,26.94,26.81,30.52,1.41, 
watersherd_400_cinza_Im042,47224,1642,67122,44012,30.54,29.82,51.76,2.39, 
watersherd_400_rgb_Im033,42082,367,33011,84540,26.53,26.36,33.23,1.10, 
watersherd_400_cinza_Im058,48911,227,56963,53899,30.71,30.61,47.57,0.40, 
watersherd_800_cinza_Im067,243366,9824,185226,201584,39.56,38.62,54.70,5.04, 
watersherd_400_rgb_Im026,52489,4702,48787,54022,35.74,33.80,49.28,8.79, 
watersherd_800_rgb_Im001,175004,3380,413305,48311,27.87,27.49,78.37,0.81, 
watersherd_800_rgb_Im046,191203,602,250232,197963,29.97,29.90,49.13,0.24, 
watersherd_800_rgb_Im006,261325,259,155194,223222,40.87,40.85,53.93,0.17, 
watersherd_800_cinza_Im020,221261,2855,314069,101815,35.02,34.73,68.49,0.90, 
watersherd_800_cinza_Im056,216529,206,219886,203379,33.86,33.84,51.57,0.09, 
watersherd_800_rgb_Im084,247226,11877,185839,195058,40.48,39.36,55.90,6.01, 
watersherd_800_cinza_Im054,202274,4305,334320,99101,32.28,31.82,67.12,1.27, 
watersherd_400_cinza_Im055,51474,2186,63942,42398,33.54,32.62,54.83,3.31, 
watersherd_400_rgb_Im085,67879,4120,56743,31258,45.00,43.55,68.47,6.77, 
watersherd_400_cinza_Im015,33229,7701,115384,3686,25.58,21.82,90.01,6.26, 
watersherd_400_rgb_Im059,46180,2771,80243,30806,30.59,29.37,59.98,3.34, 
watersherd_400_rgb_Im054,48947,2720,98617,9716,32.29,31.12,83.44,2.68, 
watersherd_800_cinza_Im077,294096,0,153993,191911,45.95,45.95,60.51,0.00, 
watersherd_800_cinza_Im071,199986,0,142991,297023,31.25,31.25,40.24,0.00, 
watersherd_800_rgb_Im067,232787,20403,309818,76992,39.56,37.57,75.15,6.18, 
watersherd_800_rgb_Im026,228788,0,123257,287955,35.75,35.75,44.28,0.00, 
watersherd_800_cinza_Im033,169829,0,134545,335626,26.54,26.54,33.60,0.00, 
watersherd_800_cinza_Im061,188524,0,272371,179105,29.46,29.46,51.28,0.00, 
watersherd_400_rgb_Im024,31279,17551,59013,52157,30.52,21.96,37.49,22.92, 
watersherd_800_rgb_Im081,243725,1040,232423,162812,38.24,38.14,59.95,0.45, 
watersherd_400_rgb_Im077,71398,2118,75563,10921,45.95,45.22,86.73,2.73, 
watersherd_400_cinza_Im080,57234,2112,61044,39610,37.09,36.25,59.10,3.34, 
watersherd_400_rgb_Im056,53744,527,67030,38699,33.92,33.70,58.14,0.78, 
watersherd_400_cinza_Im037,40615,7658,106299,5428,30.17,26.66,88.21,6.72, 
watersherd_800_cinza_Im006,260715,869,163543,214873,40.87,40.79,54.82,0.53, 
watersherd_800_rgb_Im033,169829,0,85563,384608,26.54,26.54,30.63,0.00, 
watersherd_800_rgb_Im027,240800,174,188314,210712,37.65,37.64,53.33,0.09, 
watersherd_800_cinza_Im008,221131,0,101126,317743,34.55,34.55,41.04,0.00, 
watersherd_800_rgb_Im004,247262,628,126479,265631,38.73,38.67,48.21,0.49, 
watersherd_400_rgb_Im037,40544,7729,104738,6989,30.17,26.63,85.30,6.87, 
watersherd_400_rgb_Im031,43853,164,63744,52239,27.51,27.44,45.64,0.26, 
watersherd_800_cinza_Im024,166060,29157,206629,238154,30.50,27.19,41.08,12.37, 
watersherd_400_cinza_Im084,60955,3808,34095,61142,40.48,39.03,49.92,10.05, 
watersherd_400_cinza_Im054,48414,3253,88819,19514,32.29,30.89,71.27,3.53, 
watersherd_400_cinza_Im082,46405,102,32372,81121,29.07,29.02,36.39,0.31, 
watersherd_400_cinza_Im008,53502,1811,62282,42405,34.57,33.82,55.79,2.83, 
watersherd_400_rgb_Im086,56261,3369,65282,35088,37.27,35.92,61.59,4.91, 
watersherd_400_rgb_Im041,45705,4062,98218,12015,31.10,29.31,79.18,3.97, 
watersherd_400_rgb_Im027,53829,6381,71023,28767,37.63,35.04,65.17,8.24, 
watersherd_800_rgb_Im023,187591,1146,282095,169168,29.49,29.36,52.58,0.40, 
watersherd_400_cinza_Im040,32432,4588,117605,5375,23.14,20.87,85.78,3.75, 
watersherd_400_rgb_Im032,33059,0,23695,103246,20.66,20.66,24.25,0.00, 
watersherd_400_rgb_Im052,54131,7301,91893,6675,38.40,35.45,89.02,7.36, 
watersherd_800_rgb_Im003,212038,3413,277226,147323,33.66,33.31,59.00,1.22, 
watersherd_800_rgb_Im060,197201,78,96970,345751,30.82,30.82,36.32,0.08, 
watersherd_800_cinza_Im058,193974,2572,198318,245136,30.71,30.43,44.17,1.28, 
watersherd_800_rgb_Im015,150761,12973,467448,8818,25.58,24.04,94.47,2.70, 
watersherd_400_rgb_Im070,52864,154,60057,46925,33.14,33.07,52.98,0.26, 
watersherd_800_rgb_Im061,188524,0,270990,180486,29.46,29.46,51.09,0.00, 
watersherd_400_cinza_Im076,48500,1321,18784,91395,31.14,30.56,34.67,6.57, 
watersherd_400_cinza_Im028,55095,3948,80813,20144,36.90,35.31,73.23,4.66, 
watersherd_400_cinza_Im066,63514,1252,43461,51773,40.48,40.01,55.09,2.80, 
watersherd_400_cinza_Im062,36432,1975,69028,52565,24.00,23.05,40.94,2.78, 
watersherd_400_rgb_Im075,60400,0,18768,80832,37.75,37.75,42.77,0.00, 
watersherd_800_rgb_Im025,146359,22759,242635,228247,26.42,23.71,39.07,8.58, 
watersherd_800_cinza_Im050,233446,660,274776,131118,36.58,36.51,64.03,0.24, 
watersherd_400_cinza_Im047,45956,5038,45317,63689,31.87,29.66,41.91,10.00, 
watersherd_400_cinza_Im011,36135,1797,45647,76421,23.71,22.84,32.10,3.79, 
watersherd_400_rgb_Im071,49913,97,60585,49405,31.26,31.21,50.26,0.16, 
watersherd_800_rgb_Im042,194203,1284,313204,131309,30.54,30.41,59.66,0.41, 
watersherd_400_cinza_Im014,33591,4265,120117,2027,23.66,21.57,94.31,3.43, 
watersherd_800_cinza_Im082,186033,0,104509,349458,29.07,29.07,34.74,0.00, 
watersherd_800_cinza_Im029,254563,2512,289951,92974,40.17,39.93,73.25,0.86, 
watersherd_400_cinza_Im077,70127,3389,69825,16659,45.95,44.78,80.80,4.63, 
watersherd_800_cinza_Im055,214685,1,194736,230578,33.54,33.54,48.22,0.00, 
watersherd_800_cinza_Im066,258983,0,115104,265913,40.47,40.47,49.34,0.00, 
watersherd_800_cinza_Im079,210701,0,83315,345984,32.92,32.92,37.85,0.00, 
watersherd_800_rgb_Im022,181942,9,225060,232989,28.43,28.43,43.85,0.00, 
watersherd_400_rgb_Im014,34139,3717,119353,2791,23.66,21.84,92.44,3.02, 
watersherd_800_cinza_Im027,239785,1189,232998,166028,37.65,37.54,59.09,0.51, 
watersherd_400_rgb_Im008,55079,234,44475,60212,34.57,34.47,47.77,0.52, 
watersherd_800_rgb_Im040,139961,8209,463327,28503,23.15,22.15,83.08,1.74, 
watersherd_400_rgb_Im042,45232,3634,91972,19162,30.54,28.93,70.24,3.80, 
watersherd_800_rgb_Im008,221131,0,120146,298723,34.55,34.55,42.54,0.00, 
watersherd_800_cinza_Im022,177718,4233,226011,232038,28.43,27.95,43.37,1.84, 
watersherd_400_cinza_Im024,32953,15877,54512,56658,30.52,22.86,36.77,22.56, 
watersherd_400_cinza_Im057,40180,816,33342,85662,25.62,25.24,31.93,2.39, 
VP total = 30457009 
VN total = 838435 
FP total = 33416000 
FN total = 33416000 
Acurácia total = 32.60 
Sobreposição total = 31.74 
Sensibilidade total = 55.00 
Especificidade total = 2.74 
