IMAGEM,VP,VN,FP,FN,Acurácia,Sobreposição,Sensibilidade,Especificidade  
otsu_400_cinza_Im061,34428,106106,6766,12700,87.83,63.88,73.05,94.01
otsu_800_rgb_Im063,110660,468860,21116,39364,90.55,64.66,73.76,95.69
otsu_800_rgb_Im003,179657,406591,17958,35794,91.60,76.97,83.39,95.77
otsu_400_cinza_Im072,29428,84786,32108,13678,71.38,39.13,68.27,72.53
otsu_800_rgb_Im080,186431,396001,6767,50801,91.00,76.41,78.59,98.32
otsu_800_cinza_Im025,78825,464806,6076,90293,84.94,44.99,46.61,98.71
otsu_400_rgb_Im003,44916,101649,4482,8953,91.60,76.98,83.38,95.78
otsu_400_rgb_Im041,36543,108933,1300,13224,90.92,71.56,73.43,98.82
otsu_800_rgb_Im059,99283,439942,4336,96439,84.25,49.63,50.73,99.02
otsu_800_rgb_Im052,178913,386909,7320,66858,88.41,70.69,72.80,98.14
otsu_800_cinza_Im074,149237,384277,24556,81930,83.36,58.36,64.56,93.99
otsu_800_rgb_Im086,155118,387795,13486,83601,84.83,61.50,64.98,96.64
otsu_800_cinza_Im061,137774,424458,27018,50750,87.85,63.92,73.08,94.02
otsu_800_cinza_Im026,161166,327226,83986,67622,76.31,51.53,70.44,79.58
otsu_400_rgb_Im063,27680,117201,5290,9829,90.55,64.67,73.80,95.68
otsu_400_cinza_Im024,24601,108340,2830,24229,83.09,47.62,50.38,97.45
otsu_800_cinza_Im081,190465,388267,6968,54300,90.43,75.66,77.82,98.24
otsu_800_rgb_Im056,193905,388050,35215,22830,90.93,76.96,89.47,91.68
otsu_400_rgb_Im047,35133,98847,10159,15861,83.74,57.45,68.90,90.68
otsu_800_rgb_Im070,146205,411237,16676,65882,87.10,63.91,68.94,96.10
otsu_400_cinza_Im011,31074,110573,11495,6858,88.53,62.87,81.92,90.58
otsu_800_cinza_Im031,129268,449836,13919,46977,90.48,67.98,73.35,97.00
otsu_800_cinza_Im041,145938,435780,5171,53111,90.89,71.46,73.32,98.83
otsu_800_cinza_Im082,159321,301694,152273,26712,72.03,47.09,85.64,66.46
otsu_800_rgb_Im020,165101,402626,13258,59015,88.71,69.55,73.67,96.81
otsu_400_rgb_Im077,56256,83519,2965,17260,87.36,73.56,76.52,96.57
otsu_800_rgb_Im040,115702,489391,2439,32468,94.55,76.82,78.09,99.50
otsu_800_rgb_Im061,137734,424452,27024,50790,87.84,63.90,73.06,94.01
otsu_800_rgb_Im042,145697,436287,8226,49790,90.94,71.52,74.53,98.15
otsu_400_rgb_Im083,39614,89691,8591,22104,80.82,56.34,64.19,91.26
otsu_400_rgb_Im085,48199,82771,5230,23800,81.86,62.41,66.94,94.06
